1,1,1
2,6,1
3,7,1
4,8,1
5,10,1
6,25,1
7,26,1
8,27,1
9,32,1
10,6,2
11,16,2
12,13,2
13,12,2
14,8,3
15,20,3
16,22,3
17,26,3
18,30,3
19,6,4
20,18,4
21,29,4
22,31,5
23,3,5
24,1,5
25,24,6
26,3,6
27,9,7
28,3,7
29,2,8
30,3,9
31,30,8
32,31,8
33,19,10
34,20,10
35,29,10
36,34,10
37,18,10
38,15,11
39,28,11
40,24,11
41,7,11
42,2,30
43,28,30
44,3,29
45,31,29
46,14,28
47,35,28
48,16,27
49,23,27
50,26,27
51,6,26
52,10,26
53,1,25
54,3,25
55,12,24
56,21,24
57,17,24
58,2,23
59,31,23
60,3,22
61,1,21
62,8,20
63,32,20
64,15,20
65,14,19
66,24,19
67,26,19
68,20,19
69,1,18
70,20,17
71,22,18
72,30,18
73,11,16
74,16,16
75,2,15
76,24,15
77,3,14
78,6,13
79,33,13
80,9,13
81,18,12
