1,1,1
2,1,6
3,1,7
4,1,8
5,1,10
6,1,25
7,1,26
8,1,27
9,1,32
10,2,6
11,2,16
12,2,13
13,2,12
14,3,8
15,3,20
16,3,22
17,3,26
18,3,30
19,4,6
20,4,18
21,4,29
22,5,31
23,5,3
24,5,1
25,6,24
26,6,3
27,7,9
28,7,3
29,8,2
30,9,3
31,8,30
32,8,31
33,10,19
34,10,20
35,10,29
36,10,34
37,10,18
38,11,15
39,11,28
40,11,24
41,11,7
42,30,2
43,30,28
44,29,3
45,29,31
46,28,14
47,28,35
48,27,16
49,27,23
50,27,26
51,26,6
52,26,10
53,25,1
54,25,3
55,24,12
56,24,21
57,24,17
58,23,2
59,23,31
60,22,3
61,21,1
62,20,8
63,20,32
64,20,15
65,19,14
66,19,24
67,19,26
68,19,20
69,18,1
70,17,20
71,18,22
72,18,30
73,16,11
74,16,16
75,15,2
76,15,24
77,14,3
78,13,6
79,13,33
80,13,9
81,12,18
